"","t","precip"
"1",1950-01-01,0.00207464368406818
"2",1950-01-02,0.00133558176639781
"3",1950-01-03,8.81655392390712e-05
"4",1950-01-04,7.46031263929581e-05
"5",1950-01-05,0.000616682070358365
"6",1950-01-06,0.00118163891784206
"7",1950-01-07,0.000653849250340954
"8",1950-01-08,0.00379365931439679
"9",1950-01-09,0.000970093258729321
"10",1950-01-10,0.00567605790274683
"11",1950-01-11,0.00408148583301227
"12",1950-01-12,0.0064888531815086
"13",1950-01-13,0.000866576269743291
"14",1950-01-14,0
"15",1950-01-15,0.00652560771374056
"16",1950-01-16,0.000319849249081017
"17",1950-01-17,3.11808922219825e-05
"18",1950-01-18,4.96640285518879e-06
"19",1950-01-19,0.000110023843546969
"20",1950-01-20,1.60102326844935e-05
"21",1950-01-21,1.05027618246822e-06
"22",1950-01-22,0.000226884060509747
"23",1950-01-23,0.000623840974185441
"24",1950-01-24,0.000615886216110084
"25",1950-01-25,2.44190950411394e-05
"26",1950-01-26,0.000170636824918802
"27",1950-01-27,0.000250104974895748
"28",1950-01-28,0.000111626066768622
"29",1950-01-29,3.14782066084263e-05
"30",1950-01-30,0.000291861876576149
"31",1950-01-31,0.000234582779739867
"32",1950-02-01,9.07839202568539e-05
"33",1950-02-02,0.00615325817017265
"34",1950-02-03,0.0123480430047493
"35",1950-02-04,0.00111557962009101
"36",1950-02-05,0.00916525443608407
"37",1950-02-06,0.00206562698076596
"38",1950-02-07,0.000206827392617015
"39",1950-02-08,0.003603870049119
"40",1950-02-09,0.00264194372448401
"41",1950-02-10,0.000672973455948522
"42",1950-02-11,0.00634206880931742
"43",1950-02-12,0.00782244080619421
"44",1950-02-13,0.00674488348158775
"45",1950-02-14,0.00245566019293619
"46",1950-02-15,0.00740531299476288
"47",1950-02-16,0.00058463968690603
"48",1950-02-17,5.37550403691966e-05
"49",1950-02-18,0.00958206380255433
"50",1950-02-19,4.4926008740731e-05
"51",1950-02-20,0.000287318149787552
"52",1950-02-21,6.53765777869353e-06
"53",1950-02-22,0
"54",1950-02-23,0.00144799229286718
"55",1950-02-24,0
"56",1950-02-25,0
"57",1950-02-26,0
"58",1950-02-27,0
"59",1950-02-28,0
"60",1950-03-01,0
"61",1950-03-02,0.0001533886070888
"62",1950-03-03,0.00786330320988782
"63",1950-03-04,6.67270910525986e-07
"64",1950-03-05,2.09778215776169e-06
"65",1950-03-06,0
"66",1950-03-07,0
"67",1950-03-08,0
"68",1950-03-09,1.3345415936783e-06
"69",1950-03-10,0.000107382802525535
"70",1950-03-11,0.000430798384400077
"71",1950-03-12,0.000665975688889375
"72",1950-03-13,0.000623753137006133
"73",1950-03-14,0
"74",1950-03-15,0
"75",1950-03-16,0.00174735640740664
"76",1950-03-17,0.00766320950424415
"77",1950-03-18,0.00835241850654711
"78",1950-03-19,0.000483538040267462
"79",1950-03-20,0.00119176562293433
"80",1950-03-21,3.12980191097267e-05
"81",1950-03-22,3.08332693066404e-05
"82",1950-03-23,0.00172517214105028
"83",1950-03-24,0.00997819594795146
"84",1950-03-25,0.000222647475027316
